# Animal Crossing e+ Items & Locations Translation - PHASE 5
# Based on 209,856 Japanese text entries analyzed from the game

## 🎯 PHASE 5: ITEMS & LOCATIONS TRANSLATION - START HERE!

### 1. Basic Items & Objects (HIGH PRIORITY)
# Common items found throughout the game

リンゴ | Apple | (Red apple fruit)
オレンジ | Orange | (Orange fruit)
魚 | Fish | (Generic fish)
虫 | Bug | (Generic bug/insect)
花 | Flower | (Generic flower)
木 | Tree | (Generic tree)
家具 | Furniture | (Generic furniture)
服 | Clothing | (Generic clothing)
道具 | Tool | (Generic tool)
種 | Seed | (Generic seed)
苗 | Sapling | (Young plant)
果物 | Fruit | (Generic fruit)
野菜 | Vegetable | (Generic vegetable)
石 | Rock | (Generic rock)
砂 | Sand | (Generic sand)
水 | Water | (Generic water)
火 | Fire | (Generic fire)
土 | Soil | (Generic soil)

### 2. Animal Crossing Specific Items (HIGH PRIORITY)
# Items unique to the Animal Crossing series

ベル | Bells | (Animal Crossing currency)
化石 | Fossil | (Dug up fossils)
絵画 | Painting | (Art pieces)
音楽 | Music | (Musical items)
手紙 | Letter | (Mail/letters)
プレゼント | Present | (Gift items)
カード | Card | (Trading cards)
写真 | Photo | (Photographs)
本 | Book | (Books)
新聞 | Newspaper | (Newspapers)
雑誌 | Magazine | (Magazines)
地図 | Map | (Maps)
鍵 | Key | (Keys)
宝箱 | Treasure chest | (Treasure chests)
宝 | Treasure | (Treasure items)
お金 | Money | (Generic money)
コイン | Coin | (Coins)
メダル | Medal | (Medals)
トロフィー | Trophy | (Trophies)
賞状 | Certificate | (Certificates)

### 3. Tools & Equipment (HIGH PRIORITY)
# Tools used for various activities

釣り竿 | Fishing rod | (Fishing tool)
虫取り網 | Bug net | (Bug catching tool)
シャベル | Shovel | (Digging tool)
斧 | Axe | (Tree cutting tool)
水やり缶 | Watering can | (Plant watering tool)
はさみ | Scissors | (Cutting tool)
ハンマー | Hammer | (Hammer tool)
のこぎり | Saw | (Sawing tool)
ドリル | Drill | (Drilling tool)
ブラシ | Brush | (Cleaning tool)
タオル | Towel | (Cleaning item)
バケツ | Bucket | (Container tool)
かご | Basket | (Storage container)
袋 | Bag | (Storage bag)
箱 | Box | (Storage box)
ケース | Case | (Storage case)

### 4. Furniture Categories (MEDIUM PRIORITY)
# Different types of furniture

椅子 | Chair | (Seating furniture)
机 | Desk | (Work surface)
ベッド | Bed | (Sleeping furniture)
ソファ | Sofa | (Living room seating)
テーブル | Table | (Dining surface)
棚 | Shelf | (Storage furniture)
戸棚 | Cabinet | (Storage furniture)
鏡 | Mirror | (Reflective surface)
時計 | Clock | (Time piece)
ランプ | Lamp | (Lighting)
電球 | Light bulb | (Lighting)
カーテン | Curtain | (Window covering)
カーペット | Carpet | (Floor covering)
壁紙 | Wallpaper | (Wall decoration)
床 | Floor | (Floor surface)
天井 | Ceiling | (Ceiling surface)

### 5. Clothing & Accessories (MEDIUM PRIORITY)
# Various clothing items

シャツ | Shirt | (Upper body clothing)
ズボン | Pants | (Lower body clothing)
スカート | Skirt | (Lower body clothing)
ドレス | Dress | (Full body clothing)
帽子 | Hat | (Head covering)
靴 | Shoes | (Footwear)
靴下 | Socks | (Foot covering)
手袋 | Gloves | (Hand covering)
マフラー | Scarf | (Neck covering)
ネクタイ | Tie | (Neck accessory)
